# The ehrbase-rs Conformance Catalogue (ECC) — allocated case numbers.
# ecc_id<TAB>area<TAB>status<TAB>primary_ref<TAB>title
# Numbers are allocated once and NEVER reused; retire, don't delete.
# Regenerate additions: REGEN_CATALOG=1 cargo test -p ehrbase-conformance --test coverage
ECC-COM-016	COM	active	I_EHR_COMPOSITION.get_composition_at_time-bad_ehr	I_EHR_COMPOSITION.get_composition_at_time-bad_ehr
ECC-COM-017	COM	active	I_EHR_COMPOSITION.get_composition_at_times	I_EHR_COMPOSITION.get_composition_at_times
ECC-COM-018	COM	active	I_EHR_COMPOSITION.get_composition_version	I_EHR_COMPOSITION.get_composition_version
ECC-COM-019	COM	active	I_EHR_COMPOSITION.get_composition_version-bad_version	I_EHR_COMPOSITION.get_composition_version-bad_version
ECC-COM-020	COM	active	I_EHR_COMPOSITION.get_composition_version-bad_ehr	I_EHR_COMPOSITION.get_composition_version-bad_ehr
ECC-COM-021	COM	active	I_EHR_COMPOSITION.get_composition_versions	I_EHR_COMPOSITION.get_composition_versions
ECC-COM-022	COM	active	I_EHR_COMPOSITION.get_versioned_composition	I_EHR_COMPOSITION.get_versioned_composition
ECC-COM-023	COM	active	I_EHR_COMPOSITION.get_versioned_composition-non_existent	I_EHR_COMPOSITION.get_versioned_composition-non_existent
ECC-COM-024	COM	active	I_EHR_COMPOSITION.get_versioned_composition-bad_ehr	I_EHR_COMPOSITION.get_versioned_composition-bad_ehr
ECC-COM-025	COM	active	I_EHR_COMPOSITION.update_composition-event	I_EHR_COMPOSITION.update_composition-event
ECC-COM-026	COM	active	I_EHR_COMPOSITION.update_composition-persistent	I_EHR_COMPOSITION.update_composition-persistent
ECC-COM-027	COM	active	I_EHR_COMPOSITION.update_composition-non_existent	I_EHR_COMPOSITION.update_composition-non_existent
ECC-COM-028	COM	active	I_EHR_COMPOSITION.update_composition-wrong_template	I_EHR_COMPOSITION.update_composition-wrong_template
ECC-COM-029	COM	active	I_EHR_COMPOSITION.delete_composition-event	I_EHR_COMPOSITION.delete_composition-event
ECC-COM-030	COM	active	I_EHR_COMPOSITION.delete_composition-persistent	I_EHR_COMPOSITION.delete_composition-persistent
ECC-COM-031	COM	active	I_EHR_COMPOSITION.delete_composition-non_existent	I_EHR_COMPOSITION.delete_composition-non_existent
ECC-CTB-001	CTB	active	I_EHR_CONTRIBUTION.commit_contribution-valid_composition	I_EHR_CONTRIBUTION.commit_contribution-valid_composition
ECC-CTB-002	CTB	active	I_EHR_CONTRIBUTION.commit_contribution-invalid_composition	I_EHR_CONTRIBUTION.commit_contribution-invalid_composition
ECC-CTB-003	CTB	active	I_EHR_CONTRIBUTION.commit_contribution-empty	I_EHR_CONTRIBUTION.commit_contribution-empty
ECC-CTB-004	CTB	active	I_EHR_CONTRIBUTION.commit_contribution-valid_invalid_compositions	I_EHR_CONTRIBUTION.commit_contribution-valid_invalid_compositions
ECC-CTB-005	CTB	active	I_EHR_CONTRIBUTION.commit_contribution-non_exiting_opt	I_EHR_CONTRIBUTION.commit_contribution-non_exiting_opt
ECC-CTB-006	CTB	active	I_EHR_CONTRIBUTION.commit_contribution-event_composition	I_EHR_CONTRIBUTION.commit_contribution-event_composition
ECC-CTB-007	CTB	active	I_EHR_CONTRIBUTION.commit_contribution-persistent_composition	I_EHR_CONTRIBUTION.commit_contribution-persistent_composition
ECC-CTB-008	CTB	active	I_EHR_CONTRIBUTION.commit_contribution-delete	I_EHR_CONTRIBUTION.commit_contribution-delete
ECC-CTB-009	CTB	active	I_EHR_CONTRIBUTION.commit_contribution-two_commits_second_invalid	I_EHR_CONTRIBUTION.commit_contribution-two_commits_second_invalid
ECC-CTB-010	CTB	active	I_EHR_CONTRIBUTION.commit_contribution-two_commits_second_creation	I_EHR_CONTRIBUTION.commit_contribution-two_commits_second_creation
ECC-CTB-011	CTB	active	I_EHR_CONTRIBUTION.commit_contribution-minimal_ehr_status	I_EHR_CONTRIBUTION.commit_contribution-minimal_ehr_status
ECC-CTB-012	CTB	active	I_EHR_CONTRIBUTION.commit_contribution-full_ehr_status	I_EHR_CONTRIBUTION.commit_contribution-full_ehr_status
ECC-CTB-013	CTB	active	I_EHR_CONTRIBUTION.commit_contribution-ehr_status_invalid_change_type	I_EHR_CONTRIBUTION.commit_contribution-ehr_status_invalid_change_type
ECC-CTB-014	CTB	active	I_EHR_CONTRIBUTION.commit_contribution-invalid_ehr_status	I_EHR_CONTRIBUTION.commit_contribution-invalid_ehr_status
